ID,タイトル,勤務地,求人概要,必須要件,ポジション（職種）,年収帯(低),年収帯(高),企業名
072d33af-6082-4d07-9588-5821c389fde5,【学歴不問/営業未経験OK/面接1回】介護×IT×DX化の提案営業/東証グロース上場/インセンティブで稼げる/国内最大級の薬局・ドラッグストア 検索予約サイト/EPARKくすりの窓口,東京都,・薬局・医療向けソリューションの提供,,フィールドセールス,330,550,株式会社くすりの窓口
f4dc6a29-394f-4dc5-9092-e35624edc72a,★未経験・第二新卒歓迎【人材キャリアアドバイザー／カスタマーサクセス】平均年齢は26歳｜年功序列なし｜年間休日120日｜福利厚生充実◎,東京都,"ウェルフェアステーション事業
不動産仲介・オフィスコンサルティング事業",新卒や第二新卒の方向けには、マナー研修やコミュニケーション研修、意識改革に関する研修などを実施しています。,キャリアアドバイザー,,,株式会社DYM
ba08aa23-f645-4093-9426-c13ca76ccf2f,オープンポジション【フレックス制度あり/インセンティブあり】大手企業向けWEB広告サービスの提案営業（法人営業）/住宅手当・資格取得制度・明確な評価制度あり/2030年までに業界トップを目指す！,東京都,"アドソリューション‐広告事業‐
広告効果を最大化する運用力およびコンサルティングを強みに、
アドテクノロジーに関する総合的なソリューションを提供します。
マーケティングソリューション‐マーケティング事業‐
社会インフラとして機能しているコミュニケーションプラットフォームに焦点を絞り、
顧客の行動プロセスを踏まえたマーケティング戦略を提案します。
ヒューマンリソースソリューション‐人材事業‐
...",,マーケティング,400,800,バレットグループ株式会社
b04f31ed-3dd7-41dd-9114-d955c81d58e2,★12月31日入社まで限定【学歴不問/選考1回/未経験OK】施工管理のサポート求人/運転免許不要/年間休日120日以上/土日祝休み/充実の研修制度で未経験から成長可能,"大阪府, 兵庫県, 京都府",増員募集 / 更なる組織強化,,その他,,,株式会社エール
bc768e3e-7783-4833-b05a-2e727e4bb0e5,アルバイト経験のみ歓迎/選考1回/転勤なし【多彩な自動車メーカーを扱うディーラー】カーライフアドバイザー/インセンティブ有/若手中心で活気ある職場,大阪府,増員募集 / 更なる組織強化,,営業,,,株式会社ヨシダオートサービス
fb172fca-cc2f-4708-ab14-fc278478d4e7,【SaaSセールス×COO直下ポジション】カスタマーサクセス(マネージャー候補)/賞与年4回/CSとして成長したい方！/評価次第で即昇格/未経験OK×昇格年4回/住宅補助など制度充実,東京都,マーケティングプラットフォーム『b→dash』の開発並びに導入支援,,カスタマーサクセス,1120,1400,株式会社データＸ
92cc761a-2a59-475f-b789-3a4ce2158801,【執行役員直下/営業企画】年商1兆円目指すマルチスタートアップ！日本一の金融教育スクール（GFS）の事務局体制を構築・運営！,東京都,-,,商品企画,,,株式会社Copia
b58236c1-2861-4765-9d0f-591272a8f484,未経験歓迎【フローメーターの工程管理】年間休日120日以上/福利厚生充実/副業・時短勤務可能/業界未経験歓迎！,京都府,面積式流量計、流体制御バルブ、電子式流量計、超音波流量計、各種流体制御装置、 窒素・酸素・オゾンガス発生装置、脱臭装置、水処理装置等の製造販売,,その他,350,470,コフロック株式会社
0004ae0a-bd7a-4914-a8a1-208f267a34bf,※東京【マーケティング部/オペレーション担当】SaaSサービス「TOKIUM経費精算」/賞与年2回/土日祝休み/年間休日120日,東京都,"株式会社TOKIUMは、より良い世界を志す人の「未来へつながる時を生む」をTOKIUMの志に掲げ、法人支出管理の領域でサービスを提供しています。
現在は、法人の中でも特にアナログな作業の代表例である、経費精算や支払請求書に着目し、経費精算・請求書の業務負荷を削減するクラウド型ソフトウェアを展開しています。
▼スマホでペーパーレス化ができる経費精算クラウド「TOKIUM経費精算」
　 http...",,CMO,400,700,株式会社TOKIUM
340b6781-3ff9-4a05-b3d3-28cb6cd65af4,フレックス制/ブライダル業界経験必須【ブライダル業界向けECサイトの営業事務】オリジナル商品の企画/残業ほぼなし/転勤なし/3年勤務で30日休暇取得可能,東京都,"ノバレーゼ在籍17年の間に国内外57店舗・売上高158億円強の上場企業に育て上げた浅田剛治氏が2017年7月に立ち上げたITベンチャー企業。
ITサービス事業部の自社サービス「結婚準備アプリCORDY（コーディ）」を軸に６つの事業を展開しています。
1. ITサービス事業
3. 婚礼プロデュース事業
4. コンサルティング事業
5. 海外インテリアの輸入販売事業",,営業事務,350,600,株式会社ハイパードライブ
ce15a617-a128-4209-b8a6-088051474dcf,【ITメディア×自治体】自治体向けコンサルティング営業/リモートワーク可能/フレックスタイム導入/東証プライム上場！,東京都,"ITメディア・サービス事業
マッチングプラットフォームとなるポータルサイト運営を中⼼とした、終活に関わる情報サービスの提供
自治体に対する高齢者領域での住民サービスの支援",,フィールドセールス,542,611,株式会社鎌倉新書
7a81a006-5813-4367-b78f-35af0aa28918,【コンサルティング営業/アソシエイト】〜年間休日120日/月給30万円から/月平均残業時間15h/リモート有〜,東京都,"■セールスマーケコンサルティング「Growth DX」
BtoBセールスマーケティングの領域で、クライアント様の事業成長を推進します。
自社の得意なケイパビリティに依存して施策提案をするわけではなく（テレアポ得意→テレアポやりましょう！）、クライアント様の事業フェーズ、マーケット環境、競合の動きなどをもとに、戦略施策を選定するフェーズから実行フェーズまで一気通貫してご支援をさせていただいてお...",,フィールドセールス,360,540,株式会社Growth DX
bbae9324-81e5-4823-85e8-46d498c10eba,【学歴不問/Saas/リモート可 】物流×SaaSサービスの新規事業部長/フレックスタイムあり/ライフイベント支援制度充実/年間休日120日/早期にキャリアアップ可能/社会課題に貢献！,東京都,"ネットでかんたん注文で
安心・高品質な業界最安の配送をご提供します
運送会社の非稼働時間や個人ドライバーを有効活用し、
優良ドライバーのみをネットワークすることで、
低価格で高品質の運送手配サービスを提供するプラットフォームです。
軽貨物から一般貨物まで、24時間365日、日本全国、当日からの配送も可能です。
業務のデジタル化・自動化により、物流ＤＸの成功を実現します
配車計画の最適化と配車...",,カスタマーサクセス,800,1600,ハコベル株式会社
6c21f785-a056-4e4c-ad3b-a46f5f303696,未経験OK【美容・コスメ商品のバックオフィス/EC運営にも関われる】ECオペレーションプランナー/売り上げ見込み100億円の急成長企業！/平均年齢29歳/若手メンバー活躍中！/年間休日120以上/土日祝休,福岡県,"コンサルティング事業
インキュベーション事業",,ディレクター,,,オーガニックグループ株式会社
02d94f29-df9e-4219-8b82-d19944625d00,【未経験歓迎/学歴不問】未経験エンジニア/年間休日120日以上/土日祝休み/月残業時間約7h /内定まで1週間可能/面接1回,東京都,"・システムソリューション事業
各種システムのインフラ設計・構築・運用、システム開発、システムコンサルティング、オフショア開発業務、システム受託業務
・システム運用業務・保守
システム監視、日時運用、定期運用
システム開発支援、システムインフラ基盤支援
開発言語（JAVA, PHP, Ruby 等）、インフラ受託業務",,テクニカルサポート,,,株式会社JWEBGATE
8cb1bf51-7e7f-4bed-816c-ec76a768223e,【経理(リーダー候補)】フレックスタイム導入/業界シェアNo1/SaaSサービス企業/リモートワーク可！,東京都,クラウド型建設プロジェクト管理サービスの開発・販売,,経理,600,700,株式会社アンドパッド
af0ef04c-2b87-40e3-a8c6-cd859e53ba2b,未経験歓迎/転勤なし/時短勤務可【介護求人サイト 採用状況確認スタッフ】年間休日127日/安定企業/育休復帰率100%,北海道,増員募集 / 更なる組織強化,,コールセンター,301,353,株式会社エス・エム・エスサポートサービス
9c21a0b5-d3eb-454c-adcd-080156c6dbca,経験者採用【学歴不問/ホワイト企業認定】コンサルティング事務/コンサルティング部門/不動産事務/年収UPが叶う/賞与2回あり/土日休み/年間休日120日,大阪府,"不動産・建築領域等を活用した資産価値共創事業
資産形成に関するプランニング及びコンサルティング
不動産・金融に関する市場調査及び情報提供
不動産の管理・賃貸及び売買
プロパティマネジメント業務及びアセットマネジメント業務
宅地造成等不動産事業用地の開発
建築物の設計及び工事監理
建築工事業・塗装工事業・電気工事業・管工事業その他建築業
建物のリフォーム・リノベーション
ホテル等商業施設及び介...",,その他,,,大和財託株式会社
b7f02336-35cc-4aa9-bf37-bae4910000a6,【インサイドセールス】多様な業界の事業成長を支援／BtoBセールスマーケ支援／急成長ベンチャーで営業力を磨く／年収360〜540万円／教育制度＆キャリア支援充実／土日祝休み,東京都,"■セールスマーケコンサルティング「Growth DX」
BtoBセールスマーケティングの領域で、クライアント様の事業成長を推進します。
自社の得意なケイパビリティに依存して施策提案をするわけではなく（テレアポ得意→テレアポやりましょう！）、クライアント様の事業フェーズ、マーケット環境、競合の動きなどをもとに、戦略施策を選定するフェーズから実行フェーズまで一気通貫してご支援をさせていただいてお...",,インサイドセールス,500,1000,株式会社Growth DX
538ad572-ca94-4cf1-b557-e5310797bf8c,【ITメディア企業/採用・広報担当】リモートワーク可能★/福利厚生充実/東証プライム上場企業！,東京都,"ITメディア・サービス事業
マッチングプラットフォームとなるポータルサイト運営を中⼼とした、終活に関わる情報サービスの提供
自治体に対する高齢者領域での住民サービスの支援",,採用,420,448,株式会社鎌倉新書
29c20648-f10b-4528-b1c1-949be687b541,東証プライム上場｜電通G【運用型広告コンサルタント(オープンポジション)】CARTA MARKETING FIRM｜東京都港区勤務 |スーパーフレックス|土日祝休み|福利厚生充実◎,東京都,"総合デジタルマーケティング - 広告業界屈指のメディアネットワークを利用し、オンオフ統合のデジタルコミュニケーションを提供。
SNS広告＆SNSアカウント運用ワンストップサービス - 自社開発の独自分析ツールを使用し、SNS専門チームによる広告・オーガニック領域の統合コンサルティングを実施。
Eコマース販売促進支援 - EC市場における主要チャネルでの販売促進を支援するワンストップサービス。...",,マーケティング,,,株式会社CARTAHOLDINGS
2b7969f7-d029-409a-abb8-5ac3bf042a2b,ホテル・ブライダル業界の経験を活かす/営業未経験歓迎【両面型人材コンサルタント】ホテル・ブライダル業界特化／残業が少ないほど稼げる環境/フルフレックスで柔軟に働く／未経験からキャリアアップを目指したい方歓迎,東京都,-,,キャリアアドバイザー,,,株式会社バリュースタッフ
6ffdbcd9-905b-467c-b9e6-e58cb723761b,※面接1回【営業アシスタント/テレワーク相談可】人材派遣大手企業での営業事務/(リクルートグループ)/年間休日125日以上/土日祝休み/月残業時間約10h,東京都,増員募集 / 更なる組織強化,,営業事務,271,271,株式会社スタッフサービス
9e2ad2cc-5466-455e-8a75-1aaade7ebe2e,※東京/未経験歓迎【事業企画統括部】「doda」の事業企画〜年間休日121日以上/土日祝休み/リモート可/月残業時間約30h〜,東京都,人材紹介サービス、求人メディアの運営、転職・就職支援、採用・経営支援、副業・兼業・フリーランス支援サービスの提供,,事業企画,465,764,パーソルキャリア株式会社
ef5c68d7-4335-4179-9353-da3a7a4898b5,経験者採用【学歴不問/賞与あり/面接1回】インサイドセールスチームの運営・管理担当/20代活躍中のスタートアップ企業/年間休日125日/オフィスカジュアルOK！,東京都,"アドラスでは求人情報サイトの広告代理業を主要事業としています。
クライアント様のニーズに合わせて、より効果的な商材をご提案し、価値あるサービスをお届けいたします。
ご要望に合わせ、最も適した商材をご提案。
プランニングからコンサルティングまで一貫して行うことで、さらなる反響増加へ繋げます。
企業・求職者双方のニーズに合わせた求人情報を掲載。業界トップクラスの
プロモーションで企業の採用活動を...",,カスタマーサクセス,320,340,株式会社アドラス
e14794f4-bccd-47ab-8c83-d342c960cfb7,買取店舗のフロアマネージャー(運営からMDまで幅広くお任せ！)【オンライン面接のみで完結】リユース商材の査定/転勤なし/早期昇給/賞与年2回/希望休可能/残業10時間以下！,東京都,"ジュエリー・宝飾品・貴金属等買取
スマートフォン端末買取・修理",,バイヤー,360,720,株式会社さすがや
5815a089-d33b-4352-9f0c-4a83f1dc6a30,【M&Aコンサルタント】創業期スタートアップの中核メンバー募集｜M&A領域で裁量を持ち活躍が可能｜高待遇のインセンティブをご用意｜将来の幹部候補！,東京都,増員募集 / 更なる組織強化,,その他,480,1500,株式会社アントレッド・コンサルティング
2c31a491-88d8-4fd2-87ca-c17116be2071,【学歴不問/80％以上が未経験入社】AI×ITサービスのコールセンター担当（オペレーター）/女性活躍！/産休復帰率100％！/残業少なめ/資格手当あり/年休125日/研修制度充実,"東京都, 三重県, 愛知県, 福井県","サイネット株式会社は、コールセンター事業や、ストックフォト・サービス、レンタルオフィスサービスなどを手がける企業。 全国のケーブルテレビ局に特化したコールセンターの運営を行っており、
ケーブルテレビ契約者からテレビが視聴できなかったり、
インターネットが利用できなかったりする場合の問い合わせ受付対応業務を代行しております。",,カスタマーサポート,280,383,サイネット株式会社
7121bd9a-0438-4bbe-a294-cfc7e4ba00e1,書類通過率90%/完全未経験OK【高インセンティブ制度/稼げる不動産営業】居住用不動産のご紹介・買い付けを支援する企業向けセールス/実力主義/年収1000越え多数在籍/転勤なし,東京都,-,,フィールドセールス,,,株式会社AVENIR
bc78f550-f250-4731-8a9d-1f5f84ca8dcf,※未経験OK【アシスタント/マーケティング部】〜年間休日121日/土日祝休み/「働きがいのある会社ランキング」5年連続ベストカンパニー受賞〜,東京都,システムエンジニアリング事業,,営業事務,,,レバレジーズ株式会社
30ab8923-1b01-4b20-b378-2abe1c82d756,【技術商社での技術職(FAE)】フィールドアプリケーションエンジニア｜英語力を活かせる｜商社未経験OK｜年収500万円以上｜土日祝休 |海外での活躍機会あり！,東京都,コーンズテクノロジー株式会社は、エレクトロニクス関連機器、電子部品、産業機材関連機器、理化学機器の販売およびマーケティング、技術支援を主軸としています。また、自社開発のダイヤ成膜装置の設計・製造・販売を行い、最先端技術分野での高い専門性を持っています。同社はISO 9001およびISO 14001の認証を取得しており、高品質なサービス提供と環境配慮に注力しています。さらに、反贈収賄の取り組み...,,セールス,,,コーンズテクノロジー株式会社
b426cbdc-072c-4d76-affa-242aea9101cb,★未経験OK【プロジェクトマネジメント(PM)/マネジメント採用】Sales×DXのコンサルティング/年間休日120日/月給50万円から/月平均残業時間15h/リモート有,東京都,"■セールスマーケコンサルティング「Growth DX」
BtoBセールスマーケティングの領域で、クライアント様の事業成長を推進します。
自社の得意なケイパビリティに依存して施策提案をするわけではなく（テレアポ得意→テレアポやりましょう！）、クライアント様の事業フェーズ、マーケット環境、競合の動きなどをもとに、戦略施策を選定するフェーズから実行フェーズまで一気通貫してご支援をさせていただいてお...",,コンサルタント,600,1000,株式会社Growth DX
88d96193-348f-4ab3-9839-08967454b762,【Saasセールス×環境】国内シェアNo.1の環境系SaaSのバックエンドエンジニア/テックリード/開発本部/日本から世界までの環境課題解決が可能！/フレックス制度あり/社会的意義の高い自社サービス展開,東京都,"CO2排出量見える化・削減・報告クラウドサービス「アスエネ」
持続的なサプライチェーン調達のためのESG評価クラウドサービス「アスエネESG」",,バックエンドエンジニア,,,アスエネ株式会社
c972b5c3-90fe-4929-bd78-f3c7df456822,⭕️Fee up求人/1day選考可能！⭕️営業未経験OK【個人向け営業】年収1300万円可能！業界No.1の営業マンが在籍｜20代の多い組織でキャリアチェンジ/成長できる環境/研修◎,大阪府,"・セールスコンサルティング事業
・ライフラインコンサルティング事業
・WEBコンサルティング事業",,フィールドセールス,360,1200,株式会社NAILIT
ddfadd76-0e5c-43a5-a342-5ead411be65b,【社内インフラ部門管理】フレックスタイム制|テレワーク可|土日祝休み|賞与年2回|リクルートグループ,東京都,増員募集 / 更なる組織強化,,インフラエンジニア,,,株式会社スタッフサービス
75ab3fa4-e217-47e9-aeb9-1595a1375f49,営業未経験歓迎！【ヘルスケア商材の企画提案営業】年商200億×急成長ベンチャー｜20代でリーダー昇格実績｜営業スキルと企画力を両方磨ける,東京都,増員募集 / 更なる組織強化,,フィールドセールス,400,600,ジェイフロンティア株式会社
3133a7bf-ccab-439d-ad72-af4b50d9fc4e,※マネージャー候補【法務ポジション】〜業界No.1サービス/入社後活躍率90％/年間休日121日/土日祝休み〜,東京都,"IT採用のインフラを目指すIT専門特化の人材紹介事業とメディア事業を運営
・IT人材に特化した人材紹介事業
・IT企業の選考情報に特化した口コミサイトGeeklyReviewの運営
・IT転職に関するオウンドメディアGeeklyMediaの運営
IT領域に特化することで「質」の高いサービスを実現しています。
私たちの謳う「質の高いサービス」とは、 「転職」「採用」という成果を手にして頂くこと...",,法務,,,株式会社ギークリー
6e74a74f-73d9-47f2-ae6c-ce0ecf754f2b,【戦略・組織コンサルタント】コンサル経験者歓迎◎ / Deloitte出身の経営陣が設立した少数精鋭のファーム / フルリモートOK / シニアコンサルタント枠,東京都,コンサルティングサービス,,コンサルタント,,,Luvir Consulting株式会社
